seat_type,rank,percentile,gender,college_branch,,,
LSCS,14435,92.2302228,F,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
LSTS,31172,83.1650789,F,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
LNT1S,21744,88.2761636,F,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
LNT2S,17754,90.4382847,F,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
LOBCS,9179,94.9790794,F,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
PWDOPENS,80636,49.0525702,M,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
DEFOPENS,24544,86.8356112,M,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
TFWS,7435,95.9209717,M,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
"PWDROBC
S",93664,37.5478565,M,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
DEFROBCS,28236,84.8614274,M,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
EWS,9683,94.7015776,M,"Government College of Engineering, Amravati Information Technology",,,"Government College of Engineering, Amravati Information Technology "
GOPENS,26610,85.6827453,M,"Government College of Engineering, Amravati Electrical Engineering",,,"Government College of Engineering, Amravati Electrical Engineering "
GSCS,35923,80.5336015,M,"Government College of Engineering, Amravati Electrical Engineering",,,"Government College of Engineering, Amravati Electrical Engineering "
GSTS,80097,49.556541,M,"Government College of Engineering, Amravati Electrical Engineering",,,"Government College of Engineering, Amravati Electrical Engineering "
GVJS,48372,72.8897104,M,"Government College of Engineering, Amravati Electrical Engineering",,,"Government College of Engineering, Amravati Electrical Engineering "
GNT1S,27089,85.4043578,M,"Government College of Engineering, Amravati Electrical Engineering",,,"Government College of Engineering, Amravati Electrical Engineering "
GNT2S,36467,80.2656546,M,"Government College of Engineering, Amravati Electrical Engineering",,,"Government College of Engineering, Amravati Electrical Engineering "
GNT3S,39928,78.1473584,M,"Government College of Engineering, Amravati Electrical Engineering",,,"Government College of Engineering, Amravati Electrical Engineering "
GOBCS,30649,83.3246679,M,"Government College of Engineering, Amravati Electrical Engineering",,,"Government College of Engineering, Amravati Electrical Engineering "
LOPENS,26549,85.6913808,F,"Government College of Engineering, Amravati Electrical Engineering",,,"Government College of Engineering, Amravati Electrical Engineering "
LSCS,29692,84.0382056,F,"Government College of Engineering, Amravati Electrical Engineering",,,"Government College of Engineering, Amravati Electrical Engineering "
LSTS,48168,72.8974176,F,"Government College of Engineering, Amravati Electrical Engineering",,,"Government College of Engineering, Amravati Electrical Engineering "
LVJS,40479,77.9458986,F,"Government College of Engineering, Amravati Electrical Engineering",,,"Government College of Engineering, Amravati Electrical Engineering "
LNT2S,28122,84.8685155,F,"Government College of Engineering, Amravati Electrical Engineering",,,"Government College of Engineering, Amravati Electrical Engineering "
LOBCS,25800,86.1713847,F,"Government College of Engineering, Amravati Electrical Engineering",,,"Government College of Engineering, Amravati Electrical Engineering "
PWDOPENS,54377,69.1685966,M,"Government College of Engineering, Amravati Electrical Engineering",,,"Government College of Engineering, Amravati Electrical Engineering "
DEFOPENS,78548,51.2359011,M,"Government College of Engineering, Amravati Electrical Engineering",,,"Government College of Engineering, Amravati Electrical Engineering "
TFWS,18803,89.9192371,M,"Government College of Engineering, Amravati Electrical Engineering",,,"Government College of Engineering, Amravati Electrical Engineering "
DEFROBCS,110745,18.3037194,M,"Government College of Engineering, Amravati Electrical Engineering",,,"Government College of Engineering, Amravati Electrical Engineering "
EWS,35192,80.8718313,M,"Government College of Engineering, Amravati Electrical Engineering",,,"Government College of Engineering, Amravati Electrical Engineering "
GOPENS,15492,91.6047864,M,"Government College of Engineering, Amravati Electronics and Telecommunication Engg",,,"Government College of Engineering, Amravati Electronics and Telecommunication Engg "
GSCS,22933,87.6299679,M,"Government College of Engineering, Amravati Electronics and Telecommunication Engg",,,"Government College of Engineering, Amravati Electronics and Telecommunication Engg "
GSTS,64864,61.8814494,M,"Government College of Engineering, Amravati Electronics and Telecommunication Engg",,,"Government College of Engineering, Amravati Electronics and Telecommunication Engg "
GVJS,28519,84.6390824,M,"Government College of Engineering, Amravati Electronics and Telecommunication Engg",,,"Government College of Engineering, Amravati Electronics and Telecommunication Engg "
GNT1S,20509,88.9823699,M,"Government College of Engineering, Amravati Electronics and Telecommunication Engg",,,"Government College of Engineering, Amravati Electronics and Telecommunication Engg "
GNT2S,19466,89.5056923,M,"Government College of Engineering, Amravati Electronics and Telecommunication Engg",,,"Government College of Engineering, Amravati Electronics and Telecommunication Engg "
GNT3S,26282,85.8374792,M,"Government College of Engineering, Amravati Electronics and Telecommunication Engg",,,"Government College of Engineering, Amravati Electronics and Telecommunication Engg "
GOBCS,15967,91.4536974,M,"Government College of Engineering, Amravati Electronics and Telecommunication Engg",,,"Government College of Engineering, Amravati Electronics and Telecommunication Engg "
LOPENS,14248,92.3335702,F,"Government College of Engineering, Amravati Electronics and Telecommunication Engg",,,"Government College of Engineering, Amravati Electronics and Telecommunication Engg "
LSCS,22745,87.7973797,F,"Government College of Engineering, Amravati Electronics and Telecommunication Engg",,,"Government College of Engineering, Amravati Electronics and Telecommunication Engg "
LSTS,102922,27.3337429,F,"Government College of Engineering, Amravati Electronics and Telecommunication Engg",,,"Government College of Engineering, Amravati Electronics and Telecommunication Engg "
LVJS,44740,75.3508645,F,"Government College of Engineering, Amravati Electronics and Telecommunication Engg",,,"Government College of Engineering, Amravati Electronics and Telecommunication Engg "
LNT1S,20321,89.0594645,F,"Government College of Engineering, Amravati Electronics and Telecommunication Engg",,,"Government College of Engineering, Amravati Electronics and Telecommunication Engg "
LNT2S,27605,85.0225065,F,"Government College of Engineering, Amravati Electronics and Telecommunication Engg",,,"Government College of Engineering, Amravati Electronics and Telecommunication Engg "
LOBCS,13964,92.4845102,F,"Government College of Engineering, Amravati Electronics and Telecommunication Engg",,,"Government College of Engineering, Amravati Electronics and Telecommunication Engg "
PWDOPENS,100795,29.3528763,M,"Government College of Engineering, Amravati Electronics and Telecommunication Engg",,,"Government College of Engineering, Amravati Electronics and Telecommunication Engg "
DEFOPENS,30393,83.4474115,M,"Government College of Engineering, Amravati Electronics and Telecommunication Engg",,,"Government College of Engineering, Amravati Electronics and Telecommunication Engg "
TFWS,11631,93.7141189,M,"Government College of Engineering, Amravati Electronics and Telecommunication Engg",,,"Government College of Engineering, Amravati Electronics and Telecommunication Engg "
"PWDROBC
S",104414,25.8381109,M,"Government College of Engineering, Amravati Electronics and Telecommunication Engg",,,"Government College of Engineering, Amravati Electronics and Telecommunication Engg "
DEFROBCS,41669,77.0666918,M,"Government College of Engineering, Amravati Electronics and Telecommunication Engg",,,"Government College of Engineering, Amravati Electronics and Telecommunication Engg "
EWS,16352,91.1864731,M,"Government College of Engineering, Amravati Electronics and Telecommunication Engg",,,"Government College of Engineering, Amravati Electronics and Telecommunication Engg "
GOPENS,49414,72.5765063,M,"Government College of Engineering, Amravati Instrumentaiton Engineering ",,,"Government College of Engineering, Amravati Instrumentaiton Engineering  "
GSCS,65659,61.4673542,M,"Government College of Engineering, Amravati Instrumentaiton Engineering ",,,"Government College of Engineering, Amravati Instrumentaiton Engineering  "
GSTS,112169,16.5730741,M,"Government College of Engineering, Amravati Instrumentaiton Engineering ",,,"Government College of Engineering, Amravati Instrumentaiton Engineering  "
GNT2S,74875,54.1664697,M,"Government College of Engineering, Amravati Instrumentaiton Engineering ",,,"Government College of Engineering, Amravati Instrumentaiton Engineering  "
GOBCS,52428,70.7220669,M,"Government College of Engineering, Amravati Instrumentaiton Engineering ",,,"Government College of Engineering, Amravati Instrumentaiton Engineering  "
LOPENS,46383,74.2012741,F,"Government College of Engineering, Amravati Instrumentaiton Engineering ",,,"Government College of Engineering, Amravati Instrumentaiton Engineering  "
LSCS,64077,62.3799839,F,"Government College of Engineering, Amravati Instrumentaiton Engineering ",,,"Government College of Engineering, Amravati Instrumentaiton Engineering  "
LOBCS,48202,72.8974176,F,"Government College of Engineering, Amravati Instrumentaiton Engineering ",,,"Government College of Engineering, Amravati Instrumentaiton Engineering  "
DEFOPENS,113852,14.2210761,M,"Government College of Engineering, Amravati Instrumentaiton Engineering ",,,"Government College of Engineering, Amravati Instrumentaiton Engineering  "
TFWS,30615,83.3246679,M,"Government College of Engineering, Amravati Instrumentaiton Engineering ",,,"Government College of Engineering, Amravati Instrumentaiton Engineering  "
EWS,51690,70.9370842,M,"Government College of Engineering, Amravati Instrumentaiton Engineering ",,,"Government College of Engineering, Amravati Instrumentaiton Engineering  "
GSCS,42806,76.4889836,M,"Government College of Engineering, Amravati Mechanical Engineering ",,,"Government College of Engineering, Amravati Mechanical Engineering  "
GSTS,109621,19.499854,M,"Government College of Engineering, Amravati Mechanical Engineering ",,,"Government College of Engineering, Amravati Mechanical Engineering  "
GVJS,48115,72.8974176,M,"Government College of Engineering, Amravati Mechanical Engineering ",,,"Government College of Engineering, Amravati Mechanical Engineering  "
GNT1S,47757,73.2440997,M,"Government College of Engineering, Amravati Mechanical Engineering ",,,"Government College of Engineering, Amravati Mechanical Engineering  "
GNT2S,43267,75.8471965,M,"Government College of Engineering, Amravati Mechanical Engineering ",,,"Government College of Engineering, Amravati Mechanical Engineering  "
GNT3S,63985,62.3799839,M,"Government College of Engineering, Amravati Mechanical Engineering ",,,"Government College of Engineering, Amravati Mechanical Engineering  "
GOBCS,39664,78.2814198,M,"Government College of Engineering, Amravati Mechanical Engineering ",,,"Government College of Engineering, Amravati Mechanical Engineering  "
LOPENS,40195,78.0555027,F,"Government College of Engineering, Amravati Mechanical Engineering ",,,"Government College of Engineering, Amravati Mechanical Engineering  "
LSCS,61058,64.4979119,F,"Government College of Engineering, Amravati Mechanical Engineering ",,,"Government College of Engineering, Amravati Mechanical Engineering  "
LSTS,97556,33.083064,F,"Government College of Engineering, Amravati Mechanical Engineering ",,,"Government College of Engineering, Amravati Mechanical Engineering  "
LNT1S,81559,48.7700838,F,"Government College of Engineering, Amravati Mechanical Engineering ",,,"Government College of Engineering, Amravati Mechanical Engineering  "
GOPENS,34421,81.4005843,M,"Government College of Engineering, Amravati Mechanical Engineering ",,,"Government College of Engineering, Amravati Mechanical Engineering  "
LNT2S,54000,69.3871747,F,"Government College of Engineering, Amravati Mechanical Engineering ",,,"Government College of Engineering, Amravati Mechanical Engineering  "
LOBCS,42993,76.4889836,F,"Government College of Engineering, Amravati Mechanical Engineering ",,,"Government College of Engineering, Amravati Mechanical Engineering  "
DEFOPENS,64866,61.8814494,M,"Government College of Engineering, Amravati Mechanical Engineering ",,,"Government College of Engineering, Amravati Mechanical Engineering  "
TFWS,21335,88.4908068,M,"Government College of Engineering, Amravati Mechanical Engineering ",,,"Government College of Engineering, Amravati Mechanical Engineering  "
EWS,49115,72.6414198,M,"Government College of Engineering, Amravati Mechanical Engineering ",,,"Government College of Engineering, Amravati Mechanical Engineering  "
GOPENH,56459,67.7143135,M,"Sant Gadge Baba Amravati University,Amravati Food Technology",,,"Sant Gadge Baba Amravati University,Amravati Food Technology "
GSCH,89272,42.0206383,M,"Sant Gadge Baba Amravati University,Amravati Food Technology",,,"Sant Gadge Baba Amravati University,Amravati Food Technology "
GVJH,64230,62.0823842,M,"Sant Gadge Baba Amravati University,Amravati Food Technology",,,"Sant Gadge Baba Amravati University,Amravati Food Technology "
GNT1H,100270,30.5619889,M,"Sant Gadge Baba Amravati University,Amravati Food Technology",,,"Sant Gadge Baba Amravati University,Amravati Food Technology "
GOBCH,56723,67.4824177,M,"Sant Gadge Baba Amravati University,Amravati Food Technology",,,"Sant Gadge Baba Amravati University,Amravati Food Technology "
LOPENH,24039,87.0274997,F,"Sant Gadge Baba Amravati University,Amravati Food Technology",,,"Sant Gadge Baba Amravati University,Amravati Food Technology "
LOBCH,46268,74.2260244,F,"Sant Gadge Baba Amravati University,Amravati Food Technology",,,"Sant Gadge Baba Amravati University,Amravati Food Technology "
GOPENO,41991,76.9900203,M,"Sant Gadge Baba Amravati University,Amravati Food Technology",,,"Sant Gadge Baba Amravati University,Amravati Food Technology "
GSCO,46499,74.2012741,M,"Sant Gadge Baba Amravati University,Amravati Food Technology",,,"Sant Gadge Baba Amravati University,Amravati Food Technology "
GOBCO,57201,67.2875491,M,"Sant Gadge Baba Amravati University,Amravati Food Technology",,,"Sant Gadge Baba Amravati University,Amravati Food Technology "
TFWS,34335,81.4109415,M,"Sant Gadge Baba Amravati University,Amravati Food Technology",,,"Sant Gadge Baba Amravati University,Amravati Food Technology "
EWS,107964,21.8821184,M,"Sant Gadge Baba Amravati University,Amravati Food Technology",,,"Sant Gadge Baba Amravati University,Amravati Food Technology "
