seat_type,rank,percentile,gender,college_branch,,,
LOBCH,111124,17.5316365,F," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Civil Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Civil Engineering "
GOPENO,99053,32.2127079,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Civil Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Civil Engineering "
LOPENO,92516,39.1582539,F," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Civil Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Civil Engineering "
GOPENO,96072,35.3945703,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Civil Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Civil Engineering "
EWS,101105,29.3331437,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Civil Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Civil Engineering "
GOPENH,65842,61.2621174,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering "
GSCH,81784,48.2601391,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering "
GSTH,104614,25.7906003,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering "
GVJH,67373,60.0860804,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering "
GNT1H,69455,58.8006082,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering "
GNT2H,73273,55.257059,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering "
GNT3H,95619,35.6598862,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering "
GOBCH,75196,54.124615,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering "
LOPENH,53391,69.6045087,F," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering "
LSCH,84576,45.9187639,F," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering "
LSTH,73086,55.257059,F," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering "
LOBCH,66550,60.6284658,F," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering "
GOPENO,70163,57.6946774,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering "
GSCO,103525,26.7890081,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering "
GSTO,88434,42.5186027,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering "
GVJO,88587,42.5186027,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering "
GNT1O,84265,45.9884082,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering "
GNT2O,114847,12.6735864,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering "
GOBCO,89476,41.9139826,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering "
LOPENO,86867,43.3167495,F," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering "
LSCO,108310,21.2317049,F," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering "
GNT3O,108017,21.8821184,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering "
LOBCO,67903,59.6829046,F," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering "
TFWS,31207,83.1650789,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering "
EWS,66488,60.6284658,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Computer Science and Engineering "
GOPENH,88546,42.5186027,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Electrical Engg[Electronics and Power]",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Electrical Engg[Electronics and Power] "
GSCH,115012,12.4299468,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Electrical Engg[Electronics and Power]",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Electrical Engg[Electronics and Power] "
GNT1H,94919,35.978039,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Electrical Engg[Electronics and Power]",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Electrical Engg[Electronics and Power] "
GNT2H,106370,23.4829494,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Electrical Engg[Electronics and Power]",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Electrical Engg[Electronics and Power] "
GOBCH,100150,30.5619889,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Electrical Engg[Electronics and Power]",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Electrical Engg[Electronics and Power] "
LOPENH,88197,42.7946749,F," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Electrical Engg[Electronics and Power]",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Electrical Engg[Electronics and Power] "
LOBCH,99726,31.5015186,F," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Electrical Engg[Electronics and Power]",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Electrical Engg[Electronics and Power] "
GOPENO,115560,11.4426915,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Electrical Engg[Electronics and Power]",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Electrical Engg[Electronics and Power] "
LOPENO,109359,19.8474395,F," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Electrical Engg[Electronics and Power]",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Electrical Engg[Electronics and Power] "
GSCO,116872,9.9445363,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Electrical Engg[Electronics and Power]",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Electrical Engg[Electronics and Power] "
GOBCO,105359,25.0367211,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Electrical Engg[Electronics and Power]",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Electrical Engg[Electronics and Power] "
EWS,85935,44.9304271,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Electrical Engg[Electronics and Power]",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Electrical Engg[Electronics and Power] "
GOPENH,101655,28.9481366,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering "
GVJH,112795,15.5460791,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering "
GNT1H,109557,19.499854,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering "
GNT2H,108917,20.3613489,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering "
GOBCH,110409,18.375784,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering "
LOPENH,108437,21.2317049,F," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering "
LSCH,116081,10.7718485,F," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering "
LOBCH,113809,14.2210761,F," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering "
GOPENO,119229,5.9143931,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering "
GOPENO,103772,26.3140433,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering "
GVJO,112599,15.6956852,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering "
GNT2O,115144,12.219415,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering "
GOBCO,108298,21.2317049,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering "
LOPENO,104257,25.8381109,F," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering "
LOBCO,120460,4.1980573,F," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering "
EWS,115112,12.219415,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Mechanical Engineering "
GOPENH,71129,57.0638559,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science "
GSCH,102995,27.3337429,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science "
GVJH,71670,56.8099848,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science "
GNT1H,74700,54.1664697,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science "
GNT2H,79032,50.9996691,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science "
GOBCH,83288,46.941483,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science "
LOPENH,71345,57.0638559,F," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science "
LSCH,86168,44.7418375,F," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science "
LOBCH,82979,47.769552,F," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science "
GOPENO,96876,34.1210946,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science "
GOBCO,106674,23.121138,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science "
LOPENO,101355,29.2342823,F," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science "
GSCO,104014,26.2202423,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science "
LOBCO,86043,44.7418375,F," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science "
EWS,70520,57.4413646,M," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science",,," Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad Artificial Intelligence and Data Science "
GOPENH,55510,68.3772406,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering "
GSCH,71782,56.7650587,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering "
GVJH,74384,54.1780657,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering "
GNT1H,59687,65.5958943,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering "
GNT2H,64836,61.8814494,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering "
GNT3H,67706,59.6829046,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering "
GOBCH,60106,65.2400587,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering "
LOPENH,64156,62.3799839,F,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering "
LSCH,79876,50.5614783,F,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering "
LOBCH,65456,61.6697194,F,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering "
PWDOPENH,106681,23.121138,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering "
GOPENO,62890,63.5478045,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering "
GSCO,76159,53.7302794,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering "
GOBCO,87616,43.0138429,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering "
LOPENO,52742,70.2135829,F,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering "
LOBCO,78654,51.1072039,F,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering "
DEFOPENS,97406,33.083064,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering "
TFWS,31622,82.8743796,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering "
EWS,83218,46.941483,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Computer Science and Engineering "
GOPENH,66600,60.6284658,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology "
GSCH,79017,50.9996691,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology "
GVJH,85503,44.986801,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology "
GNT1H,69328,58.8006082,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology "
GNT2H,81205,48.9390238,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology "
GNT3H,82946,47.769552,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology "
GOBCH,70601,57.4413646,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology "
LOPENH,67384,60.0860804,F,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology "
LSCH,91941,39.3128682,F,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology "
LOBCH,70622,57.4413646,F,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology "
GOPENO,66535,60.6284658,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology "
GSCO,98722,32.2621925,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology "
GVJO,96535,34.6668564,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology "
GNT2O,106509,23.2238494,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology "
GOBCO,86676,44.402277,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology "
LOPENO,66578,60.6284658,F,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology "
LOBCO,97589,33.083064,F,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology "
LSCO,92071,39.3128682,F,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology "
DEFOPENS,103612,26.7890081,M,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology",,,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali Information Technology "
